"Date","Price","Open","High","Low","Change %"
"03/15/2021","-0.197","-0.104","-0.104","-0.197","88.94%"
"03/14/2021","-0.104","-0.104","-0.104","-0.104","-46.94%"
"03/12/2021","-0.196","-0.099","-0.099","-0.196","109.63%"
"03/11/2021","-0.094","-0.099","-0.094","-0.099","1.08%"
"03/10/2021","-0.093","-0.099","-0.093","-0.099","-6.57%"
"03/09/2021","-0.099","-0.104","-0.094","-0.104","3.66%"
"03/08/2021","-0.095","-0.104","-0.095","-0.104","-8.17%"
"03/07/2021","-0.104","-0.104","-0.104","-0.104","5.05%"
"03/05/2021","-0.099","-0.104","-0.099","-0.104","0.00%"
"03/04/2021","-0.099","-0.109","-0.099","-0.109","0.00%"
"03/03/2021","-0.099","-0.109","-0.099","-0.109","-1.98%"
"03/02/2021","-0.101","-0.109","-0.101","-0.109","1.00%"
"03/01/2021","-0.100","-0.109","-0.100","-0.109","-3.85%"
"02/28/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"02/26/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"02/25/2021","-0.104","-0.196","-0.104","-0.196","4.00%"
"02/24/2021","-0.100","-0.104","-0.097","-0.104","-3.85%"
"02/23/2021","-0.104","-0.104","-0.104","-0.104","8.33%"
"02/22/2021","-0.096","-0.099","-0.096","-0.104","-3.03%"
"02/21/2021","-0.099","-0.099","-0.099","-0.099","0.00%"
"02/19/2021","-0.099","-0.104","-0.099","-0.104","-9.17%"
"02/18/2021","-0.109","-0.098","-0.098","-0.109","11.22%"
"02/17/2021","-0.098","-0.109","-0.098","-0.109","-1.01%"
"02/16/2021","-0.099","-0.109","-0.099","-0.109","0.00%"
"02/15/2021","-0.099","-0.109","-0.099","-0.109","-9.17%"
"02/14/2021","-0.109","-0.109","-0.109","-0.109","7.39%"
"02/12/2021","-0.101","-0.104","-0.101","-0.109","-2.40%"
"02/11/2021","-0.104","-0.104","-0.104","-0.104","10.64%"
"02/10/2021","-0.094","-0.104","-0.094","-0.104","0.00%"
